title,description,instructions,cooking_time_minutes,servings,difficulty,meal_type
Cơm gà rau củ,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",16,2,easy,dinner
Bò xào cà rốt hành,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",17,2,easy,breakfast
Trứng chiên khoai tây tỏi,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",18,2,medium,lunch
Cơm bông cải sốt cà,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",19,2,easy,dinner
Mì Ý hành tây dầu ô liu,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",20,2,hard,breakfast
Cà rốt xào tỏi muối,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",21,2,medium,lunch
Khoai tây cà chua tiêu đen,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",22,2,easy,dinner
Bông cải xào dầu,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",23,2,easy,breakfast
Hành tây muối hành lá,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",24,2,medium,lunch
Tỏi tiêu ớt chuông,"Món seed sinh tự động từ nguyên liệu phổ biến.","Chuẩn bị nguyên liệu, sơ chế, nêm nếm và chế biến theo khẩu vị.",25,2,easy,dinner
